Freq(GHz),length of patch in mm,width of patch in mm,Slot length in mm,slot width in mm,s11(dB)
2.99,48,31,1,2,-18.08
3.51,47,37,4,4,-20.79
4.59,39,49,4,1,-24.43
3.6,44,37,0,5,-28.1
2.85,58,36,4,5,-22.67
3.95,32,31,1,5,-22.96
4.14,51,26,5,3,-19.68
4.96,58,38,1,2,-25.78
4.03,58,26,5,4,-20.68
3.83,34,43,3,3,-27.12
4.53,34,28,2,3,-16.68
4.54,52,29,3,2,-27.39
2.91,32,36,2,2,-17.34
4.07,53,48,3,0,-22.73
2.7,42,25,3,0,-25.59
3.83,33,46,1,5,-24.04
3.64,58,48,0,4,-26.92
4.24,35,26,1,1,-21.4
4.11,33,30,4,4,-25.81
3.31,41,39,3,2,-27.77
4.02,38,32,2,3,-25.95
2.5,54,39,2,4,-20.75
2.41,53,42,0,5,-29.5
2.92,60,27,0,0,-21.69
2.73,39,50,4,1,-23.37
2.91,53,43,3,3,-21.48
4.88,32,31,1,4,-25.06
4.54,34,36,5,0,-24.24
3.22,32,47,4,4,-24.06
3.72,42,31,0,4,-23.88
3.93,46,45,1,2,-28.4
4.38,47,29,4,5,-22.86
3.5,36,41,3,4,-21.83
2.42,45,49,4,1,-21.71
4.01,51,29,5,5,-27.8
4.75,57,48,1,0,-29.25
2.5,31,46,3,3,-24.84
4.37,32,36,0,0,-21.87
2.89,46,36,3,4,-19.55
4.52,43,28,1,0,-18.31
3.91,57,34,0,1,-21.67
3.14,50,36,1,4,-23.77
2.55,48,48,3,2,-23.48
4.96,30,27,3,3,-25.04
2.42,46,38,1,2,-22.41
3.24,46,40,4,4,-26.77
4.74,35,29,4,5,-22.76
3.23,42,36,2,5,-19.01
3.86,51,36,3,0,-21.97
3.96,60,45,0,3,-21.72
4.61,52,48,0,5,-23.76
3.51,34,39,1,5,-17.83
2.52,50,41,0,1,-20.24
2.74,31,44,3,1,-23.82
3.69,37,34,2,3,-26.68
4.3,36,32,0,1,-18.43
4.1,34,27,2,3,-17.22
3.16,37,47,2,4,-26.99
4.56,37,29,0,5,-17.42
4.13,50,47,2,3,-20.99
4.14,40,34,5,3,-26.15
2.4,43,48,3,5,-28.97
4.22,45,35,1,0,-20.54
3.11,31,44,3,3,-18.07
3.08,50,44,1,5,-22.66
3.27,60,27,0,1,-27.45
4.2,30,26,5,0,-19.67
4.67,48,36,2,3,-24.38
3.04,43,45,2,2,-23.32
3.15,54,32,1,5,-24.68
4.51,43,38,0,0,-26.68
3.48,43,26,1,5,-19.42
2.97,45,29,0,1,-24.44
